"STATION","NAME","location","LATITUDE","LONGITUDE","ELEVATION","nrows","min.date","max.date","AWND.n","DAPR.n","DASF.n","EVAP.n","FMTM.n","MDPR.n","MDSF.n","MNPN.n","MXPN.n","PGTM.n","PRCP.n","SN32.n","SN52.n","SNOW.n","SNWD.n","SX32.n","SX52.n","TAVG.n","TMAX.n","TMIN.n","TOBS.n","WDF2.n","WDF5.n","WDMV.n","WESD.n","WESF.n","WSF2.n","WSF5.n","WSFG.n","WT01.n","WT02.n","WT03.n","WT04.n","WT05.n","WT06.n","WT07.n","WT08.n","WT09.n","WT10.n","WT11.n","WT13.n","WT14.n","WT15.n","WT16.n","WT17.n","WT18.n","WT19.n","WT21.n","WT22.n","SN53.n","SX53.n","tavg2.n","ZCTA5CE10","STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","GEOID","community"
"US1ILCK0036","CHICAGO 4.7 NE, IL US","(41.886,-87.621)",41.886,-87.621,191.1,3300,2007-03-15,2018-12-30,0,0,0,0,0,0,0,0,0,0,3300,0,0,2253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60601,17,31,320100,2,170313201002,"LOOP"
"US1ILCK0041","HOFFMAN ESTATES 2.1 SE, IL US","(42.0455,-88.1072)",42.0455,-88.1072,251.2,461,2007-04-18,2010-06-27,0,0,0,0,0,0,0,0,0,0,461,0,0,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60169,17,31,804716,1,170318047161,NA
"US1ILCK0042","MOUNT PROSPECT 3.0 NE, IL US","(42.0962,-87.8967)",42.0962,-87.8967,199,3367,2007-03-26,2018-12-30,0,0,0,0,0,0,0,0,0,0,3361,0,0,2522,457,0,0,0,0,0,0,0,0,0,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60056,17,31,802610,1,170318026101,NA
"US1ILCK0045","GLENVIEW 1.6 WNW, IL US","(42.092,-87.8416)",42.092,-87.8416,206,188,2008-07-08,2012-11-29,0,0,0,0,0,0,0,0,0,0,188,0,0,141,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60026,17,31,801608,4,170318016084,NA
"US1ILCK0046","DES PLAINES 0.5 NW, IL US","(42.0398,-87.9083)",42.0398,-87.9083,199.9,1332,2007-02-20,2011-07-23,0,0,0,0,0,0,0,0,0,0,1331,0,0,1201,579,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60016,17,31,806300,6,170318063006,NA
"US1ILCK0049","LA GRANGE PARK 0.9 NE, IL US","(41.8407,-87.8596)",41.8407,-87.8596,192,2346,2007-03-26,2013-11-21,0,0,0,0,0,0,0,0,0,0,2339,0,0,1833,8,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60526,17,31,818600,2,170318186002,NA
"US1ILCK0050","PALOS PARK 1.3 SW, IL US","(41.6528,-87.8631)",41.6528,-87.8631,214,2575,2007-03-18,2018-12-30,0,0,0,0,0,0,0,0,0,0,2574,0,0,1800,467,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60464,17,31,823801,2,170318238012,NA
"US1ILCK0051","ORLAND HILLS 0.6 S, IL US","(41.5833,-87.8434)",41.5833,-87.8434,217,1972,2007-02-06,2013-11-04,0,0,0,0,0,0,0,0,0,0,1972,0,0,1580,428,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60487,17,31,824108,2,170318241082,NA
"US1ILCK0053","GLENCOE 0.1 NW, IL US","(42.1357,-87.7654)",42.1357,-87.7654,212.1,1820,2007-03-01,2018-11-11,0,0,0,0,0,0,0,0,0,0,1820,0,0,574,10,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60022,17,31,800200,2,170318002002,NA
"US1ILCK0054","PALATINE 2.7 NNE, IL US","(42.1468,-88.0197)",42.1468,-88.0197,228,1090,2007-03-28,2011-08-05,0,0,0,0,0,0,0,0,0,0,1090,0,0,935,132,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60074,17,31,803611,3,170318036113,NA
