"station","name","trap.name","wea.dist.mi"
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T074",12.1230276221506
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T074B",12.0254614915543
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T075",15.1869713547514
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T076",15.0832525812
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T077",16.8746112709508
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T078",15.1349287546941
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T079",18.3091336029448
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T080",17.469644850569
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T081",13.2849625014521
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T082",13.8102949048025
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T083",18.0714214552579
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T084",21.1193870483216
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T085",18.6144330713458
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T086",20.3235726586239
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T087",20.3419671997058
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T088",19.2848141716163
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T089",19.5995913341573
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T090",21.3267051693014
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T090A",20.4636344162914
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T090B",20.9532316352563
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T090C",21.521577568929
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T091",21.5973863818814
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T092",21.9785512714471
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T094",18.35396743508
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T094B",18.4649128786974
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T095",19.9985342334997
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T095A",19.9332547896515
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T096",18.3373722374563
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T097",24.4847674548277
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T099",20.3087432182363
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T100",21.9031815741931
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T102",21.1310647269639
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T103",23.5380283458764
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T104",23.3422116389618
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T107",19.1969153652675
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T114",12.1963101334023
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T114B",12.2106824314478
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T115",23.6181692456302
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T128",21.694874703533
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T128A",21.5726745445125
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T129",10.6670471881932
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T135",22.6967017486065
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T135B",22.7067079437959
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T138",20.8059154434869
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T138B",20.7896160851573
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T141",1.52998442949846
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T142",1.29533205837148
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T143",2.02529162120763
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T144",2.0760715298424
"US1ILCK0005","HARWOOD HEIGHTS 1.0 ENE, IL US","T145",6.13662551581631
