"id","latitude","longitude"
"T002",41.9562988561187,-87.7975174448293
"T007",41.9954924193428,-87.7696089453246
"T015",41.974182873821,-87.825240930789
"T045",41.9217045742286,-87.6669632346939
"T046",41.8922199832367,-87.691697728683
"T048",41.8669151816101,-87.6549188436306
"T049",41.8961310926235,-87.6567621238786
"T050",41.9198789355683,-87.6949018154055
"T054",41.9225123768715,-87.6323776704254
"T086",41.6881705895702,-87.678251676036
"T087",41.6881928494591,-87.676873112379
"T091",41.6770323531627,-87.64446507522
"T094",41.7212874996792,-87.6652357017005
"T096",41.7324280640084,-87.6310564801408
"T129",41.8915130223463,-87.6097848218792
"T143",41.9991197,-87.7955664
"T148",42.0178008501155,-87.6876014459454
"T153",41.9093399585373,-87.7610782822997
"T159",41.7314468581772,-87.6497222527759
"T009",41.9885863963242,-87.8544733512056
"T011",41.9459610944719,-87.8329424734962
"T016",42.0130292746781,-87.8113497315539
"T019",41.9516671502748,-87.6980278904984
"T025",41.9790499237338,-87.7517739651728
"T028",41.9872446084667,-87.6894167701896
"T033",41.9072848728359,-87.701394636759
"T089",41.7043384152534,-87.657084271932
"T090",41.6768873161871,-87.661221926168
"T092",41.6774470724727,-87.6227850122959
"T135",41.6635341,-87.6319993
"T141",41.96158436461,-87.7606167025188
"T142",41.9535401208115,-87.7769390418149
"T145",41.8157323,-87.6655132
"T146",41.9580055335815,-87.7021810745628
"T147",41.9327902098521,-87.7002378838387
"T149",41.994555861179,-87.6694255110694
"T150",42.0065978587399,-87.677866206975
"T151",41.9161347185485,-87.8010928086375
"T152",41.845715401799,-87.7158985974353
"T154",41.920412159677,-87.7524994665832
"T158",41.6821804028987,-87.710091650995
"T162",41.7240338368422,-87.6143450751631
"T218",41.9485000641038,-87.7305531874359
"T220",41.964405453997,-87.6913703910972
"T001",41.9542824562709,-87.7338428754678
"T003",41.9653748587969,-87.7584117152154
"T006",41.9902337297868,-87.7972198792737
"T008",42.0079975031253,-87.7782349650785
"T012",41.9935643615568,-87.745420387043
"T034",41.8416841809332,-87.6851487363558
"T037",41.9210539143908,-87.7957507013376
"T040",41.8517688927757,-87.7197282029539
"T043",41.8578372938077,-87.6358619855955
"T047",41.8675992536724,-87.6957854425704
"T051",41.8455294771185,-87.6560501353136
"T085",41.721479434794,-87.6506214915875
"T088",41.7010097311215,-87.6915016993506
"T161",41.7181710224451,-87.6748588234249
"T219",41.9670854996588,-87.6751607247347
"T013",41.9238873642687,-87.7789099120536
"T014",41.9701024107584,-87.7891306453357
"T018",42.0105292891548,-87.6608450688439
"T030",41.8837717767951,-87.7161683651013
"T084",41.692774011979,-87.6173661512078
"T144",41.9407816977487,-87.7944297588767
"T160",41.6909229851246,-87.6822596739875
"T167",41.8728728624957,-87.7647365320396
"T005",41.9419905128339,-87.7772314719966
"T017",41.9620146382878,-87.6468477257087
"T044",41.8841995854518,-87.6200866466941
"T095",41.7053276441833,-87.6329553653982
"T004",41.962615609684,-87.7510352655956
"T035.2",41.8366302,-87.6777392
"T036",41.8369118885703,-87.7315789027096
"T039",41.9135675822887,-87.7263003017604
"T060",41.8231277055702,-87.6825290369968
"T061",41.801047857204,-87.6804247336934
"T062",41.8005970872007,-87.7117303452467
"T065",41.7783051555442,-87.7543662860319
"T066",41.7711985879739,-87.7031066077449
"T067",41.7600823529196,-87.7416071609896
"T068",41.7465002,-87.6637
"T069",41.7684856670166,-87.6794634281361
