"","trap.name","lat","lng","lat.lng.src","satellite.ind","trap_type","date","erraticus.NumMosquitos","pipiens.NumMosquitos","pipiens_restuans.NumMosquitos","restuans.NumMosquitos","salinarius.NumMosquitos","tarsalis.NumMosquitos","territans.NumMosquitos","unspecified.NumMosquitos","tot.NumMosquitos","erraticus.WnvPresent","pipiens.WnvPresent","pipiens_restuans.WnvPresent","restuans.WnvPresent","salinarius.WnvPresent","tarsalis.WnvPresent","territans.WnvPresent","unspecified.WnvPresent","any.WnvPresent","mo","wk","day.of.wk","day.of.wk.name","location","yr"
"11","T001","41.95428245627087","-87.73384287546776","CDPH",FALSE,"GRAVID",2007-08-07,0,1,1,0,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,32,3,"Mon","(41.95428245627087,-87.73384287546776)",2007
"12","T001","41.95428245627087","-87.73384287546776","CDPH",FALSE,"GRAVID",2007-08-15,0,5,5,0,0,0,0,0,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,33,4,"Tue","(41.95428245627087,-87.73384287546776)",2007
"13","T001","41.95428245627087","-87.73384287546776","CDPH",FALSE,"GRAVID",2007-08-21,0,1,0,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,34,3,"Mon","(41.95428245627087,-87.73384287546776)",2007
"14","T001","41.95428245627087","-87.73384287546776","CDPH",FALSE,"GRAVID",2007-08-24,0,0,2,0,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,34,6,"Thu","(41.95428245627087,-87.73384287546776)",2007
"15","T001","41.95428245627087","-87.73384287546776","CDPH",FALSE,"GRAVID",2007-09-12,0,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,37,4,"Tue","(41.95428245627087,-87.73384287546776)",2007
"16","T001","41.95428245627087","-87.73384287546776","CDPH",FALSE,"GRAVID",2007-10-04,0,1,0,0,0,0,1,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,40,5,"Wed","(41.95428245627087,-87.73384287546776)",2007
"17","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2007-05-29,0,0,1,1,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,22,3,"Mon","(41.956298856118664,-87.79751744482932)",2007
"18","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2007-06-05,0,1,3,5,0,0,0,0,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,23,3,"Mon","(41.956298856118664,-87.79751744482932)",2007
"19","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2007-06-26,0,0,1,4,1,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,26,3,"Mon","(41.956298856118664,-87.79751744482932)",2007
"20","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2007-06-29,0,0,2,0,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,26,6,"Thu","(41.956298856118664,-87.79751744482932)",2007
"21","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2007-07-02,0,0,3,2,0,0,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,27,2,"Sun","(41.956298856118664,-87.79751744482932)",2007
"22","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2007-07-11,0,2,18,7,0,0,0,0,27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,28,4,"Tue","(41.956298856118664,-87.79751744482932)",2007
"23","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2007-07-18,0,4,7,2,0,0,0,0,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,29,4,"Tue","(41.956298856118664,-87.79751744482932)",2007
"24","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2007-07-27,0,1,23,11,0,0,0,0,35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,30,6,"Thu","(41.956298856118664,-87.79751744482932)",2007
"25","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2007-08-01,0,67,104,8,0,0,0,0,179,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,8,31,4,"Tue","(41.956298856118664,-87.79751744482932)",2007
"26","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2007-08-07,0,11,13,2,0,0,0,0,26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,32,3,"Mon","(41.956298856118664,-87.79751744482932)",2007
"27","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2007-08-15,0,32,41,3,0,0,0,0,76,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,8,33,4,"Tue","(41.956298856118664,-87.79751744482932)",2007
"28","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2007-08-21,0,46,23,0,0,0,1,0,70,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,8,34,3,"Mon","(41.956298856118664,-87.79751744482932)",2007
"29","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2007-08-24,0,35,27,0,0,0,0,0,62,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,8,34,6,"Thu","(41.956298856118664,-87.79751744482932)",2007
"30","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2007-09-04,0,13,10,0,0,0,0,0,23,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,9,36,3,"Mon","(41.956298856118664,-87.79751744482932)",2007
"31","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2007-09-12,0,6,2,0,0,0,0,0,8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,9,37,4,"Tue","(41.956298856118664,-87.79751744482932)",2007
"32","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2007-09-18,0,17,24,0,0,0,0,0,41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,38,3,"Mon","(41.956298856118664,-87.79751744482932)",2007
"33","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2007-09-24,0,41,33,0,0,0,0,0,74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,39,2,"Sun","(41.956298856118664,-87.79751744482932)",2007
"34","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2007-10-04,0,53,29,0,0,0,0,0,82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,40,5,"Wed","(41.956298856118664,-87.79751744482932)",2007
"35","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2008-06-17,0,0,2,3,0,0,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,25,3,"Mon","(41.956298856118664,-87.79751744482932)",2008
"36","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2008-06-24,0,0,0,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,26,3,"Mon","(41.956298856118664,-87.79751744482932)",2008
"37","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2008-07-01,0,0,0,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,27,3,"Mon","(41.956298856118664,-87.79751744482932)",2008
"38","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2008-07-04,0,0,2,0,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,27,6,"Thu","(41.956298856118664,-87.79751744482932)",2008
"39","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2008-07-11,0,0,3,2,0,0,0,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,28,6,"Thu","(41.956298856118664,-87.79751744482932)",2008
"40","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2008-07-23,0,27,136,63,0,0,0,0,226,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,30,4,"Tue","(41.956298856118664,-87.79751744482932)",2008
"41","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2008-07-28,0,0,1,1,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,30,2,"Sun","(41.956298856118664,-87.79751744482932)",2008
"42","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2008-08-04,0,5,50,24,0,0,0,0,79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,31,2,"Sun","(41.956298856118664,-87.79751744482932)",2008
"43","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2008-08-19,0,3,348,28,0,0,0,0,379,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,34,3,"Mon","(41.956298856118664,-87.79751744482932)",2008
"44","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2008-08-25,0,1,169,4,0,0,0,0,174,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,34,2,"Sun","(41.956298856118664,-87.79751744482932)",2008
"45","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2008-09-02,0,1,367,6,0,0,0,0,374,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,36,3,"Mon","(41.956298856118664,-87.79751744482932)",2008
"46","T002","41.956298856118664","-87.79751744482932","CDPH",FALSE,"GRAVID",2008-09-09,0,0,458,0,0,0,0,0,458,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,9,37,3,"Mon","(41.956298856118664,-87.79751744482932)",2008
