SUMLEVEL,GEOID,FILETYPE,year,tot_pop,male_pct,female_pct,age_median,tot_under18_pct,tot_18to64_pct,tot_65plus_pct,raceeth_white_pct,raceeth_aa_pct,raceeth_aian_pct,raceeth_asian_pct,raceeth_hpi_pct,raceeth_other_pct,raceeth_mult_pct,raceeth_hispanic_pct
140,14000US17031030101,2017e5,2017,3549,0.528881375,0.471118625,44.5,0.0836855452,0.7655677656,0.1507466892,0.4775993238,0.2135812905,0,0.0470555086,0,0,0.0324034939,0.2293603832
140,14000US17031030102,2017e5,2017,2766,0.4989154013,0.5010845987,40.5,0.0379609544,0.8091106291,0.1529284165,0.5347071584,0.1753434563,0.0043383948,0.1026753435,0,0.0607375271,0.0148228489,0.1073752711
140,14000US17031030103,2017e5,2017,2217,0.4375281912,0.5624718088,28.4,0.0442038791,0.898511502,0.0572846189,0.4812810104,0.1623815968,0.0022553,0.1930536761,0.0027063599,0,0.0288678394,0.1294542174
140,14000US17031030104,2017e5,2017,3375,0.4408888889,0.5591111111,21.5,0.032,0.8755555556,0.0924444444,0.5413333333,0.0948148148,0,0.1748148148,0,0.0103703704,0.0417777778,0.1368888889
140,14000US17031030200,2017e5,2017,5103,0.5010777974,0.4989222026,43.4,0.1122868901,0.7617087987,0.1260043112,0.7640603567,0.0623162845,0.0003919263,0.0427199686,0,0.0023515579,0.0137174211,0.1144424848
140,14000US17031030300,2017e5,2017,3315,0.4995475113,0.5004524887,37.1,0.1978883861,0.6889894419,0.1131221719,0.3788838612,0.0558069382,0.0045248869,0.1514328808,0,0,0.0244343891,0.3849170437
140,14000US17031030400,2017e5,2017,2708,0.5036927622,0.4963072378,37.3,0.1473412112,0.7163958641,0.1362629247,0.4745199409,0.1096750369,0.0107090103,0.0734859675,0,0,0.0347119645,0.2968980798
140,14000US17031030500,2017e5,2017,6570,0.5062404871,0.4937595129,37.3,0.1257229833,0.7697108067,0.10456621,0.6089802131,0.0374429224,0,0.0654490107,0,0.00304414,0.0315068493,0.2535768645
140,14000US17031030601,2017e5,2017,4066,0.5440236104,0.4559763896,40,0.1446138711,0.6731431382,0.1822429907,0.5150024594,0.180521397,0,0.0981308411,0,0,0.0189375307,0.1874077718
140,14000US17031030603,2017e5,2017,2023,0.5051903114,0.4948096886,34.1,0.1211072664,0.8368759268,0.0420168067,0.3583786456,0.3415719229,0.0257043994,0.1196243203,0,0,0.0168067227,0.1379139891
