"trap.name","rev.lat","rev.lng","lat.lng.src","satellite.ind","ZCTA5CE10","STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","BlkGrp.geoid","community","zone_class","zone_type","Tract.geoid","LT_HS_pct__BlkGrp2017","median_HHInc__BlkGrp2017","LT_Pov_pct__BlkGrp2017","LT_HS_pct__Tract2017","median_HHInc__Tract2017","LT_Pov_pct__Tract2017"
"T167","41.87287286249572","-87.7647365320396","CDPH",FALSE,60644,17,31,252101,1,170312521011,"AUSTIN","POS-1","12",17031252101,15.417558887,21339,33.674214755,15.417558887,21339,33.674214755
"T033","41.90728487283588","-87.701394636759","CDPH",FALSE,60622,17,31,240900,1,170312409001,"WEST TOWN","POS-1","12",17031240900,19.899874844,39219,28.472906404,19.899874844,39219,28.472906404
"T034","41.841684180933214","-87.6851487363558","CDPH",FALSE,60608,17,31,841300,4,170318413004,"LOWER WEST SIDE","PMD 11","6",17031841300,42.830540037,40938,22.375397667,34.077155825,48750,22.103960396
"T035","41.76337092198238","-87.6378726141474","CDPH",FALSE,60621,17,31,681300,2,170316813002,"ENGLEWOOD","POS-1","12",17031681300,28.69379015,23452,49.5215311,23.414252153,25735,40.516129032
"T035.2","41.8366302","-87.6777392","Google",FALSE,60608,17,31,840300,2,170318403002,"MCKINLEY PARK","PMD 11","6",17031840300,14.6374829,52333,19.442022668,28.932261768,48056,18.472652219
"T036","41.83691188857033","-87.73157890270961","CDPH",FALSE,60623,17,31,301803,3,170313018033,"SOUTH LAWNDALE","C1-2","2",17031301803,53.167701863,38966,19.465387252,49.645618557,35960,24.936432982
"T037","41.92105391439082","-87.79575070133757","CDPH",FALSE,60707,17,31,831600,4,170318316004,"MONTCLARE","POS-1","12",17031831600,31.897341888,22714,19.67611336,27.489711934,42077,13.506733562
"T039","41.91356758228873","-87.72630030176042","CDPH",FALSE,60647,17,31,230400,2,170312304002,"HUMBOLDT PARK","B3-1","1",17031230400,47.42014742,57625,20.423728814,37.554314091,56250,17.081400253
"T040","41.8517688927757","-87.7197282029539","CDPH",FALSE,60623,17,31,841400,2,170318414002,"NORTH LAWNDALE","RT-4","4",17031841400,20.943952802,29773,21.74796748,17.837837838,29338,39.024390244
"T043","41.857837293807705","-87.63586198559554","CDPH",FALSE,60616,17,31,841900,2,170318419002,"NEAR WEST SIDE","PMD 11","6",17031841900,9.4136632598,114718,19.136571191,5.9396299903,113882,13.424072591
"T044","41.88419958545182","-87.62008664669412","CDPH",FALSE,60601,17,31,320100,1,170313201001,"LOOP","PD 677","5",17031320100,0,102909,2.3359670216,0.4099854227,116587,7.4259391629
"T045","41.92170457422864","-87.66696323469388","CDPH",FALSE,60614,17,31,832500,1,170318325001,"LINCOLN PARK","PD 1031","5",17031832500,9.1733870968,91094,24.544270833,7.2273324573,116935,14.569125852
"T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,60612,17,31,836700,2,170318367002,"HUMBOLDT PARK","PMD 4","6",17031836700,16.47634584,38232,34.36928702,19.267399267,24946,36.944937833
"T046B","41.891454520945864","-87.68976265642561","CDPH",TRUE,60612,17,31,242800,1,170312428001,"WEST TOWN","PMD 4","6",17031242800,7.5317604356,80679,9.2028515878,7.5317604356,80679,9.2028515878
"T047","41.86759925367238","-87.69578544257037","CDPH",FALSE,60612,17,31,843300,1,170318433001,"NORTH LAWNDALE","PD 872","5",17031843300,28.335832084,47829,45.904855321,28.335832084,47829,45.904855321
"T048","41.86691518161014","-87.65491884363057","CDPH",FALSE,60608,17,31,283800,1,170312838001,"NEAR WEST SIDE","PD 896","5",17031283800,16.666666667,32279,15.873015873,13.115968877,62548,20.93385214
"T049","41.896131092623506","-87.65676212387862","CDPH",FALSE,60642,17,31,243500,2,170312435002,"WEST TOWN","C1-3","2",17031243500,1.8918918919,126563,1.6393442623,1.720912832,101375,6.7422617223
"T050","41.91987893556831","-87.69490181540546","CDPH",FALSE,60647,17,31,221400,3,170312214003,"LOGAN SQUARE","RS-3","4",17031221400,11.189516129,68413,9.3582887701,10.013844024,70313,10.335833062
"T051","41.84552947711851","-87.65605013531362","CDPH",FALSE,60608,17,31,600600,2,170316006002,"BRIDGEPORT","RS-3","4",17031600600,35.12605042,33667,10.714285714,34.014962594,34069,26.403743316
"T054","41.922512376871495","-87.63237767042544","CDPH",FALSE,60614,17,31,71400,2,170310714002,"LINCOLN PARK","POS-1","12",17031071400,3.3512064343,77540,23.195266272,3.1936637711,71701,18.572331017
"T054A","41.92273664946568","-87.63244996720142","CDPH",TRUE,60614,17,31,71400,2,170310714002,"LINCOLN PARK","POS-1","12",17031071400,3.3512064343,77540,23.195266272,3.1936637711,71701,18.572331017
"T054B","41.92206380002785","-87.63223305992274","CDPH",TRUE,60614,17,31,71400,2,170310714002,"LINCOLN PARK","POS-1","12",17031071400,3.3512064343,77540,23.195266272,3.1936637711,71701,18.572331017
"T054C","41.921776903428494","-87.63214045192028","CDPH",TRUE,60614,17,31,71400,2,170310714002,"LINCOLN PARK","POS-1","12",17031071400,3.3512064343,77540,23.195266272,3.1936637711,71701,18.572331017
"T060","41.8231277055702","-87.6825290369968","CDPH",FALSE,60609,17,31,590500,1,170315905001,"MCKINLEY PARK","POS-1","12",17031590500,18.085969181,55667,26.521496371,18.085969181,55667,26.521496371
"T061","41.80104785720396","-87.68042473369341","CDPH",FALSE,60609,17,31,630100,1,170316301001,"GAGE PARK","RS-3","4",17031630100,24.46183953,31016,15.101070155,24.46183953,31016,15.101070155
"T062","41.8005970872007","-87.7117303452467","CDPH",FALSE,60632,17,31,630300,2,170316303002,"GAGE PARK","PD 545","5",17031630300,36.836734694,48786,8.8461538462,35.055821372,50051,9.4570298454
"T063","41.82539825646484","-87.72396213667864","CDPH",FALSE,60623,17,31,830500,3,170318305003,"SOUTH LAWNDALE","M3-3","3",17031830500,41.471215352,35403,27.636152955,52.122370937,39602,30.595611285
"T063B","41.82606534071734","-87.72397609269235","CDPH",TRUE,60623,17,31,830500,3,170318305003,"SOUTH LAWNDALE","M3-3","3",17031830500,41.471215352,35403,27.636152955,52.122370937,39602,30.595611285
"T065","41.77830515554422","-87.75436628603191","CDPH",FALSE,60638,17,31,980100,1,170319801001,"CLEARING","PD 610","5",17031980100,NA,NA,NA,NA,NA,NA
"T065A","41.77734314354912","-87.74966553150517","CDPH",TRUE,60638,17,31,640700,2,170316407002,"CLEARING","RS-2","4",17031640700,15,49271,18.597560976,19.584954604,49938,18.057080132
"T066","41.77119858797388","-87.70310660774493","CDPH",FALSE,60629,17,31,660900,3,170316609003,"CHICAGO LAWN","POS-1","12",17031660900,18.563535912,22305,53.190220632,12.236135957,29125,37.215847586
"T067","41.7600823529196","-87.74160716098964","CDPH",FALSE,60629,17,31,650500,3,170316505003,"WEST LAWN","PMD13","6",17031650500,23.553054662,55524,6.7357512953,26.041302065,60459,14.114247611
"T068","41.7465002","-87.6637","Google",FALSE,60620,17,31,710500,1,170317105001,"AUBURN GRESHAM","B3-2","1",17031710500,31.456953642,21691,48.058252427,13.034482759,30793,30.060918463
"T069","41.768485667016584","-87.67946342813606","CDPH",FALSE,60636,17,31,660700,2,170316607002,"CHICAGO LAWN","M1-1","3",17031660700,22.679045093,24076,26.391554702,24.374079529,27344,32.288094072
"T070","41.79697562371853","-87.79771355544744","CDPH",FALSE,60638,17,31,560900,5,170315609005,"GARFIELD RIDGE","RS-2","4",17031560900,7.183908046,91111,0,11.133967601,84652,3.8001140034
"T071","41.779693355250316","-87.77659727910212","CDPH",FALSE,60638,17,31,640300,6,170316403006,"CLEARING","RS-2","4",17031640300,3.4567901235,54596,2.9696132597,7.6000856348,69600,3.7133362231
"T072","41.7463635328984","-87.70244486812008","CDPH",FALSE,60652,17,31,700401,1,170317004011,"ASHBURN","B1-1","1",17031700401,9.5930232558,70962,11.057481351,13.584598698,64776,14.988028731
"T073","41.773085401492715","-87.60016755939222","CDPH",FALSE,60637,17,31,841800,2,170318418002,"GREATER GRAND CROSSING","RT-4","4",17031841800,10.967741935,32237,31.781266919,11.228945727,36250,29.756275009
"T074","41.82085850772701","-87.66510809467968","CDPH",FALSE,60609,17,31,842600,2,170318426002,"NEW CITY","PMD 8","6",17031842600,25.41322314,29583,29.246676514,17.961826858,58315,16.19047619
"T074B","41.82251502093992","-87.66510458646107","CDPH",TRUE,60609,17,31,842600,2,170318426002,"NEW CITY","PMD 8","6",17031842600,25.41322314,29583,29.246676514,17.961826858,58315,16.19047619
"T075","41.80809006352392","-87.58928650652244","CDPH",FALSE,60615,17,31,390700,1,170313907001,"KENWOOD","POS-1","12",17031390700,2.4187975121,66354,7.987804878,3.1338360038,53015,19.416031244
"T076","41.793951806707","-87.61581170480557","CDPH",FALSE,60637,17,31,400300,1,170314003001,"WASHINGTON PARK","POS-1","12",17031400300,14.158163265,29417,43.132887899,14.158163265,29417,43.132887899
"T077","41.778128857884745","-87.58624503516381","CDPH",FALSE,60637,17,31,843900,1,170318439001,"WOODLAWN","POS-1","12",17031843900,15.514592934,NA,54.779033916,13.930530165,32750,33.133253301
"T078","41.7754286072673","-87.65453449840803","CDPH",FALSE,60636,17,31,834900,2,170318349002,"WEST ENGLEWOOD","POS-1","12",17031834900,24.009603842,13983,54.334763948,22.195704057,18401,49.381387843
"T079","41.76575252485466","-87.56246520793836","CDPH",FALSE,60649,17,31,430700,1,170314307001,"SOUTH SHORE","RM-6","4",17031430700,7.9927338783,19583,53.507653061,13.842975207,19093,46.913043478
"T080","41.75414841411549","-87.61272102258191","CDPH",FALSE,60619,17,31,691400,5,170316914005,"GREATER GRAND CROSSING","RS-2","4",17031691400,15.009041591,55792,20.679468242,13.780084946,28813,23.267504488
"T081","41.820051649277865","-87.62734757080052","CDPH",FALSE,60609,17,31,380500,1,170313805001,"GRAND BOULEVARD","RT-4","4",17031380500,23.037974684,19358,52.625,23.037974684,19358,52.625
"T082","41.802359308973436","-87.64307591923095","CDPH",FALSE,60609,17,31,843800,1,170318438001,"NEW CITY","RS-3","4",17031843800,11.277173913,51375,18.648648649,12,45833,23.871733967
"T083","41.754292","-87.590773","Google",FALSE,60619,17,31,834300,2,170318343002,"AVALON PARK","M1-2","3",17031834300,15.78313253,NA,45.30141844,13.022727273,34140,20.880325815
"T084","41.692774011978955","-87.61736615120783","CDPH",FALSE,60628,17,31,490901,3,170314909013,"ROSELAND","RT-4","4",17031490901,9.4218415418,34286,33.14415437,14.121699196,39750,16.48089172
"T085","41.72147943479403","-87.65062149158746","CDPH",FALSE,60643,17,31,730202,3,170317302023,"WASHINGTON HEIGHTS","B3-1","1",17031730202,15,49427,1.3698630137,8.8562351072,48564,13.059586292
"T086","41.688170589570205","-87.67825167603604","CDPH",FALSE,60643,17,31,750500,1,170317505001,"MORGAN PARK","RS-1","4",17031750500,8.5915492958,65286,5.1475204018,11.707554044,55485,23.409165842
"T087","41.68819284945908","-87.67687311237898","CDPH",FALSE,60643,17,31,750500,1,170317505001,"MORGAN PARK","RS-1","4",17031750500,8.5915492958,65286,5.1475204018,11.707554044,55485,23.409165842
"T088","41.701009731121545","-87.69150169935061","CDPH",FALSE,60655,17,31,720500,1,170317205001,"BEVERLY","RS-2","4",17031720500,0,124250,0,2.6425591099,115417,1.2340036563
"T089","41.70433841525342","-87.65708427193195","CDPH",FALSE,60643,17,31,720700,2,170317207002,"BEVERLY","C1-1","2",17031720700,5.2774018945,69375,14.444444444,3.4540859309,61438,7.4311926606
"T090","41.67688731618708","-87.66122192616795","CDPH",FALSE,60643,17,31,530400,2,170315304002,"WEST PULLMAN","M2-2","3",17031530400,7.825203252,72386,7.299270073,10.265613783,48036,15.509376584
"T090A","41.69049224370896","-87.65935280145148","CDPH",TRUE,60643,17,31,750600,4,170317506004,"MORGAN PARK","RS-2","4",17031750600,19.626168224,32552,40.281329923,13.435527502,34470,33.741973147
"T090B","41.683724974638565","-87.65656067097044","CDPH",TRUE,60643,17,31,530300,3,170315303003,"WEST PULLMAN","RS-2","4",17031530300,10.126582278,43250,21.241513094,14.539579968,39816,25.692307692
